model, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,repetition,slack,distance_look_ahead,max_speed_slow_car
NS,0,6,-1,0.0,0.05,1033900,1033900,0,20623,999999999,20736,-1,50,0,false,3,3,7,6
NS,0,6,-1,0.0,0.05,1033781,1033781,0,20588,999999999,20731,-1,50,0,false,4,3,7,6
NS,1,9,-1,0.0,0.05,1450653,1450653,0,28379,999999999,29361,-1,50,0,false,0,3,7,9
NS,1,9,-1,0.0,0.05,1452103,1452103,0,28025,999999999,29490,-1,50,0,false,1,3,7,9
NS,1,9,-1,0.0,0.05,1534609,1534609,0,30381,999999999,31044,-1,50,0,false,2,3,7,9
NS,1,9,-1,0.0,0.05,1541012,1541012,0,30205,999999999,31046,-1,50,0,false,3,3,7,9
NS,1,9,-1,0.0,0.05,1452805,1452805,0,28468,999999999,29417,-1,50,0,false,4,3,7,9
NS,0,9,-1,0.0,0.05,1569967,1569967,0,31289,999999999,31501,-1,50,0,false,0,3,7,9
NS,0,9,-1,0.0,0.05,1571064,1571064,0,31376,999999999,31501,-1,50,0,false,1,3,7,9
NS,0,9,-1,0.0,0.05,1570745,1570745,0,31340,999999999,31486,-1,50,0,false,2,3,7,9
NS,0,9,-1,0.0,0.05,1571571,1571571,0,31355,999999999,31500,-1,50,0,false,3,3,7,9
NS,0,9,-1,0.0,0.05,1571369,1571369,0,31344,999999999,31512,-1,50,0,false,4,3,7,9
NS,1,3,4,0.25,0.05,512137,374998,137139,9794,10942,9917,11897,38,12,false,0,3,7,3
NS,1,3,4,0.25,0.05,519739,374976,144763,9783,11751,9924,12261,38,12,false,1,3,7,3
NS,1,3,4,0.25,0.05,519418,374939,144479,9799,11788,9929,12283,38,12,false,2,3,7,3
NS,1,3,4,0.25,0.05,517499,375034,142465,9801,11697,9944,12075,38,12,false,3,3,7,3
NS,1,3,4,0.25,0.05,514889,371656,143233,9675,11675,9835,12206,38,12,false,4,3,7,3
NS,0,3,4,0.25,0.05,518246,375290,142956,9798,11395,9943,12238,38,12,false,0,3,7,3
NS,0,3,4,0.25,0.05,514752,375548,139204,9790,11076,9946,11980,38,12,false,1,3,7,3
